Catcode	Catname	Catorder	Industry	Sector	Sector Long
M1400	Manmade fibers	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M1500	Plastics and Rubber processing and products	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
M1600	Paints, Solvents and Coatings	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
M1700	Adhesives and Sealants	N13	Chemical and Related Manufacturing	Misc Business	Misc Business
M2000	Heavy industrial manufacturing	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M2100	Steel	N14	Steel Production	Misc Business	Misc Business
M2200	Smelting and non-petroleum refining	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M2250	Aluminum mining/processing	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M2300	Industrial/commercial equipment and materials	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M2400	Recycling of metal, paper, plastics, etc.	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3000	Personal products manufacturing	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3100	Clothing and accessories	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3200	Shoes and leather products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3300	Toiletries and cosmetics	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3400	Jewelry	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3500	Toys	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M3600	Sporting goods sales and manufacturing	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M4000	Household and office products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M4100	Furniture and wood products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M4200	Office machines	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M4300	Household appliances	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M5000	Fabricated metal products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M5100	Hardware and tools	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M5200	Electroplating, polishing and related services	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M5300	Small arms and ammunition	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M6000	Electrical lighting products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M7000	Paper, glass and packaging materials	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M7100	Paper packaging materials	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M7200	Glass products	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M7300	Metal cans and containers	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M8000	Textiles and fabrics	N16	Textiles	Misc Business	Misc Business
M9000	Precision instruments	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M9100	Optical instruments and lenses	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M9200	Photographic equipment and supplies	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
M9300	Clocks and watches	N15	Misc Manufacturing and Distributing	Misc Business	Misc Business
T0000	Transportation	M06	Misc Transport	Transportation	Transportation
T1000	Air transport	M01	Air Transport	Transportation	Transportation
T1100	Airlines	M01	Air Transport	Transportation	Transportation
T1200	Aircraft manufacturers	M01	Air Transport	Transportation	Transportation
T1300	Aircraft parts and equipment	M01	Air Transport	Transportation	Transportation
T1400	General aviation (private pilots)	M01	Air Transport	Transportation	Transportation
T1500	Air freight	M01	Air Transport	Transportation	Transportation
T1600	Aviation services and airports	M01	Air Transport	Transportation	Transportation
T1700	Space vehicles and components	M01	Air Transport	Transportation	Transportation
T2000	Automotive, Misc	M02	Automotive	Transportation	Transportation
T2100	Auto manufacturers	M02	Automotive	Transportation	Transportation
T2200	Truck/Automotive parts and accessories	M02	Automotive	Transportation	Transportation
T2300	Auto dealers, new and used	M02	Automotive	Transportation	Transportation
T2310	Auto dealers, foreign imports	M02	Automotive	Transportation	Transportation
T2400	Auto repair	M02	Automotive	Transportation	Transportation
T2500	Car rental agencies	M02	Automotive	Transportation	Transportation
T3000	Trucking	M03	Trucking	Transportation	Transportation
T3100	Trucking companies and services	M03	Trucking	Transportation	Transportation
T3200	Truck and trailer manufacturers	M03	Trucking	Transportation	Transportation
T4000	Buses and Taxis	M06	Misc Transport	Transportation	Transportation
T4100	Bus services	M06	Misc Transport	Transportation	Transportation
T4200	Taxicabs	M06	Misc Transport	Transportation	Transportation
T5000	Railroad transportation	M04	Railroads	Transportation	Transportation
T5100	Railroads	M04	Railroads	Transportation	Transportation
T5200	Manufacturers of railroad equipment	M04	Railroads	Transportation	Transportation
T5300	Railroad services	M04	Railroads	Transportation	Transportation
T6000	Sea transport	M05	Sea Transport	Transportation	Transportation
T6100	Ship building and repair	M05	Sea Transport	Transportation	Transportation
T6200	Sea freight and passenger services	M05	Sea Transport	Transportation	Transportation
T6250	Cruise ships and lines	M05	Sea Transport	Transportation	Transportation
T7000	Freight and delivery services	M06	Misc Transport	Transportation	Transportation
T7100	Express delivery services	M01	Air Transport	Transportation	Transportation
T7200	Warehousing	N12	Misc Business	Misc Business	Misc Business
T8000	Recreational transport	M06	Misc Transport	Transportation	Transportation
T8100	Motorcycles, snowmobiles and other motorized vehicle	M06	Misc Transport	Transportation	Transportation
T8200	Motor homes and camper trailers	M06	Misc Transport	Transportation	Transportation
T8300	Pleasure boats	M06	Misc Transport	Transportation	Transportation
T8400	Bicycles and other non-motorized recreational transp	M06	Misc Transport	Transportation	Transportation
T9000	Lodging and tourism	N08	Lodging/Tourism	Misc Business	Misc Business
T9100	Hotels and motels	N08	Lodging/Tourism	Misc Business	Misc Business
T9300	Resorts	N08	Lodging/Tourism	Misc Business	Misc Business
T9400	Travel agents	N08	Lodging/Tourism	Misc Business	Misc Business
X0000	Other	W07	Other	Other	Other
X1200	Retired	W06	Retired	Other	Other
X3000	Civil servant/public employee	W03	Civil Servants/Public Officials	Other	Other
X3100	Public official (elected or appointed)	W03	Civil Servants/Public Officials	Other	Other
X3200	Courts and Justice System	W03	Civil Servants/Public Officials	Other	Other
X3300	Municipal and county government organizations	W03	Civil Servants/Public Officials	Other	Other
X3500	Public school teachers, administrators and officials	W04	Education	Other	Other
X3700	US Postal Service	W03	Civil Servants/Public Officials	Other	Other
X4000	Non-Profits	W02	Non-Profit Institutions	Other	Other
X4100	Non-profit foundations	W02	Non-Profit Institutions	Other	Other
X4110	Philanthropists	W02	Non-Profit Institutions	Other	Other
X4200	Museums, art galleries, libraries, etc.	W02	Non-Profit Institutions	Other	Other
X5000	Military	W07	Other	Other	Other
X7000	Churches, clergy and religious organizations	W05	Clergy and Religious Organizations	Other	Other
X8000	International Organizations	W07	Other	Other	Other
X9000	Foreign Governments	W07	Other	Other	Other
Y0000	Unknown	Y00	Unknown	Unknown	Unknown
Y1000	Homemakers, students and other non-income earners	Y01	Homemakers/Non-income earners	Unknown	Unknown
Y2000	No employer listed or discovered	Y02	No Employer Listed or Found	Unknown	Unknown
Y3000	Generic occupation - impossible to assign category	Y03	Generic Occupation/Category Unknown	Unknown	Unknown
Y4000	Employer listed but category unknown	Y04	Employer Listed/Category Unknown	Unknown	Unknown
Z1000	Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z1100	Republican Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z1200	Democratic Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z1300	Third-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z1400	Unknown-Party Candidate Committees	Q16	Candidate Committees	Ideology/Single-Issue	Ideological/Single-Issue
Z4100	Republican Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z4200	Democratic Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z4300	Third-Party Joint Candidate Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z4400	Liberal Non-party Joint Fundraising Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z4500	Conservative Non-party Joint Fundraising Committee	Z04	Joint Candidate Cmte	Joint Candidate Cmtes	Joint Candidate Cmtes
Z5000	Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z5100	Republican Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z5200	Democratic Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z5300	Third-Party Party Committees	Z02	Party Committees	Party Cmte	Party Cmtes
Z9000	Candidate contribution to his/her own campaign	Z07	Candidate Self-finance	Candidate	Candidate
Z9100	Transfer between national party committees	Z08	Party Committee Transfer	Non-contribution	Non-contribution
Z9500	Transfer from intermediary ( type 24I or 24T)	Z09	Non-contribution	Non-contribution	Non-contribution
Z9600	Non-Contribution, Miscellaneous	Z09	Non-contribution	Non-contribution	Non-contribution
Z9700	Unitemized (small) contributions	Z09	Non-contribution	Non-contribution	Non-contribution
Z9800	Public Funding	Z09	Non-contribution	Non-contribution	Non-contribution
Z9999	Internal Transfer and other non-contributions	Z09	Non-contribution	Non-contribution	Non-contribution
